iter	Logloss
0	0.6393322173
1	0.594764288
2	0.555570328
3	0.5214752875
4	0.4925649957
5	0.4673850989
6	0.4466198033
7	0.4278803246
8	0.4116837023
9	0.3974108499
10	0.3849427083
11	0.374348689
12	0.3651454846
13	0.3573960445
14	0.349742577
15	0.3434560179
16	0.3376823537
17	0.3323698091
18	0.3276423379
19	0.323827412
20	0.3202129488
21	0.3169565972
22	0.3138646744
23	0.3109915636
24	0.3085162334
25	0.3063056389
26	0.3042769194
27	0.3022928854
28	0.3004251496
29	0.2987505832
30	0.2972315131
31	0.2958100198
32	0.2944584477
33	0.2932053804
34	0.2920516435
35	0.2909607127
36	0.2899518171
37	0.2890134568
38	0.2880943526
39	0.2872627379
40	0.2864826311
41	0.2857856174
42	0.2850974237
43	0.2844283564
44	0.283796627
45	0.2832574502
46	0.2827554195
47	0.2822596222
48	0.2817500136
49	0.2812988029
50	0.2808558892
51	0.2804336538
52	0.2800602136
53	0.2796766919
54	0.2793151119
55	0.2789895485
56	0.2786891741
57	0.2783693441
58	0.2780973947
59	0.2778514075
60	0.2775911265
61	0.2773201265
62	0.2770755964
63	0.2768411381
64	0.2766367653
65	0.2764344347
66	0.2762435942
67	0.2760494327
68	0.2758690709
69	0.2756836112
70	0.2755234201
71	0.2753557284
72	0.2752054967
73	0.2750692526
74	0.2749245819
75	0.2747996419
76	0.2746764284
77	0.2745454722
78	0.2744114583
79	0.2743036141
80	0.2741880115
81	0.2740773848
82	0.2739775391
83	0.2738761296
84	0.2737803684
85	0.2736949967
86	0.2735955365
87	0.2735072254
88	0.2734061396
89	0.2733313201
90	0.2732481089
91	0.273176194
92	0.2730918531
93	0.2730189345
94	0.2729528595
95	0.2728891698
96	0.272832413
97	0.2727687484
98	0.2727021387
99	0.2726518012
100	0.2725972125
101	0.2725423371
102	0.2724850222
103	0.2724336306
104	0.2723798363
105	0.272319923
106	0.2722773515
107	0.272232356
108	0.2721875252
109	0.2721480073
110	0.2720930757
111	0.2720573382
112	0.272008233
113	0.271971856
114	0.2719373314
115	0.2719021093
116	0.2718619249
117	0.2718321107
118	0.2717817247
119	0.271746522
120	0.2717051149
121	0.2716693348
122	0.2716351125
123	0.2715998477
124	0.2715653154
125	0.2715306125
126	0.2714918949
127	0.2714543341
128	0.2714219157
129	0.2713900805
130	0.2713601888
131	0.2713329322
132	0.271307065
133	0.2712802386
134	0.2712540167
135	0.271228161
136	0.2712090386
137	0.2711880425
138	0.2711649751
139	0.2711409215
140	0.2711188945
141	0.2710855577
142	0.271064209
143	0.2710440984
144	0.2709737684
145	0.2709526445
146	0.2709251108
147	0.2709027739
148	0.2708882785
149	0.2708676409
150	0.2708469645
151	0.2707849605
152	0.2707682234
153	0.2707516586
154	0.2707343033
155	0.2707134138
156	0.2706950839
157	0.2706747407
158	0.2706533998
159	0.2706314426
160	0.2706135351
161	0.2705990552
162	0.2705673789
163	0.2705481655
164	0.2705325191
165	0.2705182912
166	0.2705027708
167	0.2704774538
168	0.2704613522
169	0.2704411582
170	0.2704143512
171	0.2704043027
172	0.2703922817
173	0.2703652789
174	0.2703445638
175	0.2703208841
176	0.2703115525
177	0.2703004092
178	0.2702850245
179	0.2702596281
180	0.2702488336
181	0.270239595
182	0.270228068
183	0.2702144582
184	0.2702057815
185	0.2701873973
186	0.270171534
187	0.2701596253
188	0.2701464631
189	0.2701309059
190	0.2701190476
191	0.2701026069
192	0.2700952788
193	0.2700810663
194	0.2700685822
195	0.2700515408
196	0.2700437302
197	0.2700323661
198	0.2700229337
199	0.270014693
200	0.2699582597
201	0.2699469575
202	0.2699347757
203	0.2699094781
204	0.2698969436
205	0.2698844285
206	0.2698735158
207	0.2698641202
208	0.2698523705
209	0.2698384932
210	0.2698290686
211	0.2698216824
212	0.2698128604
213	0.2698040481
214	0.2697953811
215	0.2697877255
216	0.2697811124
217	0.2697750845
218	0.2697453168
219	0.2697334527
220	0.2697211023
221	0.2697147217
222	0.2697064403
223	0.269698031
224	0.2696863607
225	0.2696767191
226	0.2696650042
227	0.2696567577
228	0.2696490013
229	0.2696274007
230	0.2696164144
231	0.269607883
232	0.2696005452
233	0.2695928626
234	0.2695837712
235	0.2695410389
236	0.2695320522
237	0.2695252937
238	0.2694975857
239	0.2694883084
240	0.269480337
241	0.2694725516
242	0.2694654619
243	0.2694589495
244	0.2694496237
245	0.2694398077
246	0.2694312066
247	0.2694245877
248	0.2694115203
249	0.269403549
250	0.2693973834
251	0.2693743877
252	0.2693669821
253	0.2693580787
254	0.2693480728
255	0.2693397527
256	0.2693262319
257	0.2692821161
258	0.269273763
259	0.2692636467
260	0.2692441212
261	0.2692384808
262	0.2692309435
263	0.2692244486
264	0.2692172173
265	0.2692101605
266	0.2692032083
267	0.2691762308
268	0.2691691139
269	0.2691583252
270	0.2691437504
271	0.2691367653
272	0.2691277766
273	0.2690939941
274	0.2690837674
275	0.2690608123
276	0.2690508626
277	0.2690359255
278	0.2690240905
279	0.2690054021
280	0.268992699
281	0.2689836716
282	0.2689730767
283	0.2689675758
284	0.2689576687
285	0.2689358336
286	0.2689280831
287	0.2689135103
288	0.2689059594
289	0.2688992842
290	0.2688923941
291	0.2688844789
292	0.2688779859
293	0.2688623221
294	0.2688517756
295	0.2688456934
296	0.2688403824
297	0.2688299251
298	0.2688216107
299	0.2688086596
300	0.2687960283
301	0.2687813643
302	0.2687688725
303	0.2687633464
304	0.2687528619
305	0.2687396647
306	0.2687253786
307	0.268718469
308	0.2686997148
309	0.2686915554
310	0.2686829272
311	0.2686732139
312	0.2686255503
313	0.2686117486
314	0.2685995726
315	0.2685777103
316	0.2685690414
317	0.2685485724
318	0.2685291767
319	0.2685177874
320	0.2685103605
321	0.2684842897
322	0.2684720672
323	0.2684408657
324	0.2684319468
325	0.2684151011
326	0.268388482
327	0.2683791853
328	0.2683504561
329	0.2683412388
330	0.2683306943
331	0.2683247903
332	0.2683097079
333	0.2682974447
334	0.2682897097
335	0.2682815755
336	0.2682682079
337	0.2682564581
338	0.2682451482
339	0.2682368532
340	0.2682300076
341	0.2682042372
342	0.2681921658
343	0.2681842545
344	0.2681754034
345	0.2681597784
346	0.2681495264
347	0.2681388482
348	0.2681336592
349	0.2681278851
350	0.268117203
351	0.2681071041
352	0.2680940871
353	0.2680877879
354	0.2680790473
355	0.2680708415
356	0.2680660071
357	0.2680578439
358	0.2680499946
359	0.2680446797
360	0.2680333775
361	0.2680252104
362	0.2680134549
363	0.2680062682
364	0.2679872756
365	0.2679816585
366	0.2679719761
367	0.2679636289
368	0.2679465526
369	0.2679365176
370	0.2679216309
371	0.2679118517
372	0.2678962073
373	0.2678676971
374	0.2678600919
375	0.2678545135
376	0.2678478074
377	0.2678322773
378	0.2678248407
379	0.2678097486
380	0.267795726
381	0.2677836352
382	0.2677611956
383	0.2677437376
384	0.2677384188
385	0.2677304474
386	0.26772546
387	0.2677172406
388	0.2677097924
389	0.2677007359
390	0.267692129
391	0.2676845393
392	0.2676747989
393	0.2676595013
394	0.2676485131
395	0.2676386273
396	0.2676339557
397	0.267627424
398	0.2676202102
399	0.2676077842
400	0.2675978713
401	0.2675894562
402	0.2675826048
403	0.2675689949
404	0.267553397
405	0.2675425657
406	0.2675343366
407	0.2675223757
408	0.2675112479
409	0.2675043693
410	0.2674932571
411	0.2674869598
412	0.267481889
413	0.2674697808
414	0.2674604085
415	0.2674494435
416	0.2674432218
417	0.2674341673
418	0.2674266726
419	0.267412648
420	0.2674024891
421	0.2673966549
422	0.2673889586
423	0.2673813554
424	0.2673735332
425	0.2673671274
426	0.2673612816
427	0.2673552537
428	0.2673452342
429	0.2673369102
430	0.2673291074
431	0.2673217386
432	0.2673139881
433	0.2673027363
434	0.2672986789
435	0.2672909924
436	0.2672802366
437	0.2672708062
438	0.2672643016
439	0.2672603799
440	0.26724944
441	0.267229126
442	0.2672164365
443	0.2672106081
444	0.2672017939
445	0.2671973296
446	0.2671903251
447	0.267179393
448	0.2671670174
449	0.26716066
450	0.2671537795
451	0.2671447056
452	0.2671363739
453	0.2671284393
454	0.2671231457
455	0.2671185031
456	0.2671120702
457	0.2671001674
458	0.2670912001
459	0.2670844785
460	0.2670804327
461	0.2670743621
462	0.2670668403
463	0.2670593339
464	0.2670520136
465	0.2670456969
466	0.267035846
467	0.2670312752
468	0.267025129
469	0.2670155979
470	0.2670087755
471	0.2669946967
472	0.2669836406
473	0.2669771845
474	0.2669682462
475	0.2669622241
476	0.2669557892
477	0.2669427529
478	0.2669368412
479	0.2669296177
480	0.2669209004
481	0.2669139656
482	0.2669064515
483	0.2668996369
484	0.2668913342
485	0.2668848315
486	0.2668709949
487	0.2668659881
488	0.2668567805
489	0.2668509541
490	0.2668425022
491	0.266834339
492	0.2668279157
493	0.2668210391
494	0.2668144686
495	0.2668083554
496	0.2667993862
497	0.2667920368
498	0.2667864331
499	0.2667809845
500	0.2667739238
501	0.2667679463
502	0.2667614533
503	0.2667546522
504	0.2667480701
505	0.26674068
506	0.2667346928
507	0.2667299766
508	0.2667261227
509	0.2667206721
510	0.2667142392
511	0.2667079071
512	0.2666982131
513	0.2666925184
514	0.2666856476
515	0.2666796584
516	0.2666729581
517	0.2666678932
518	0.2666631693
519	0.2666590867
520	0.2666512587
521	0.2666458101
522	0.2666408498
523	0.266636277
524	0.2666299216
525	0.2666211848
526	0.266610991
527	0.2666034827
528	0.2665961139
529	0.2665889679
530	0.2665827424
531	0.2665778344
532	0.266571508
533	0.2665652262
534	0.266557251
535	0.2665521802
536	0.2665438542
537	0.2665383514
538	0.2665304517
539	0.2665246756
540	0.2665167779
541	0.266510128
542	0.2665033695
543	0.2664976613
544	0.2664933714
545	0.2664858437
546	0.266479498
547	0.2664742509
548	0.2664678529
549	0.2664625574
550	0.266455363
551	0.2664517977
552	0.2664474187
553	0.2664401197
554	0.2664332256
555	0.2664268838
556	0.2664218731
557	0.2664173565
558	0.2664107647
559	0.2664053238
560	0.2664001465
561	0.266394446
562	0.266389693
563	0.2663823068
564	0.2663782959
565	0.2663745175
566	0.2663693635
567	0.2663653913
568	0.2663612371
569	0.266355058
570	0.2663436919
571	0.2663378674
572	0.2663334728
573	0.2663269702
574	0.2663211186
575	0.2663151371
576	0.2663073401
577	0.2663029863
578	0.2662962007
579	0.266291097
580	0.2662858034
581	0.2662792581
582	0.2662743307
583	0.2662683164
584	0.2662618311
585	0.2662533075
586	0.2662491106
587	0.2662437744
588	0.2662370722
589	0.2662313639
590	0.2662250899
591	0.2662202052
592	0.2662149639
593	0.2662114762
594	0.266207289
595	0.266200765
596	0.2661946208
597	0.2661889319
598	0.2661821715
599	0.2661777072
600	0.2661723032
601	0.2661661706
602	0.2661606852
603	0.2661542484
604	0.2661494528
605	0.2661438899
606	0.2661381042
607	0.2661322583
608	0.2661262924
609	0.2661184198
610	0.2661131863
611	0.2661069297
612	0.2661021574
613	0.2660969374
614	0.2660915624
615	0.2660860324
616	0.2660775088
617	0.2660710391
618	0.2660656835
619	0.2660617908
620	0.2660555381
621	0.2660470261
622	0.2660392931
623	0.2660356581
624	0.2660305583
625	0.2660240808
626	0.2660187097
627	0.2660128309
628	0.2660080876
629	0.2660023542
630	0.2659963573
631	0.2659913776
632	0.2659847858
633	0.2659781843
634	0.2659700695
635	0.2659664733
636	0.2659622241
637	0.2659558067
638	0.2659504743
639	0.2659414121
640	0.2659368683
641	0.2659306098
642	0.26592377
643	0.2659214778
644	0.265915599
645	0.2659120861
646	0.265907957
647	0.2659037195
648	0.2658977768
649	0.2658906386
650	0.2658847211
651	0.2658787822
652	0.2658733278
653	0.2658681834
654	0.2658637734
655	0.2658583694
656	0.265853256
657	0.2658471331
658	0.2658432733
659	0.2658381948
660	0.2658335387
661	0.2658289989
662	0.2658223431
663	0.2658157959
664	0.2658102155
665	0.2658056505
666	0.2658019496
667	0.2657959914
668	0.2657917112
669	0.2657856135
670	0.2657792329
671	0.2657732011
672	0.2657651018
