iter	Passed	Remaining
0	69	55404
1	149	59598
2	222	59074
3	283	56345
4	359	57145
5	434	57535
6	518	58747
7	583	57782
8	657	57760
9	724	57269
10	803	57644
11	889	58409
12	965	58464
13	1036	58200
14	1102	57715
15	1179	57804
16	1239	57071
17	1313	57059
18	1376	56572
19	1437	56043
20	1499	55620
21	1567	55424
22	1625	54898
23	1687	54571
24	1754	54388
25	1821	54226
26	1887	54043
27	1966	54207
28	2025	53859
29	2091	53687
30	2159	53558
31	2221	53311
32	2282	53062
33	2359	53159
34	2421	52916
35	2493	52920
36	2566	52920
37	2640	52946
38	2704	52766
39	2766	52559
40	2840	52581
41	2918	52668
42	2979	52450
43	3040	52234
44	3105	52099
45	3164	51863
46	3227	51710
47	3289	51533
48	3348	51324
49	3408	51125
50	3484	51180
51	3547	51031
52	3604	50796
53	3675	50770
54	3737	50631
55	3800	50498
56	3862	50351
57	3925	50222
58	3993	50153
59	4062	50099
60	4117	49882
61	4176	49709
62	4240	49610
63	4305	49509
64	4372	49444
65	4431	49284
66	4499	49227
67	4563	49126
68	4628	49038
69	4702	49038
70	4767	48951
71	4847	49016
72	4922	49018
73	4996	49022
74	5062	48933
75	5121	48784
76	5186	48703
77	5247	48570
78	5321	48563
79	5385	48467
80	5443	48322
81	5514	48289
82	5579	48195
83	5700	48591
84	5784	48656
85	5853	48597
86	5944	48716
87	6022	48730
88	6112	48827
89	6214	49028
90	6313	49192
91	6463	49738
92	6571	49953
93	6658	50010
94	6775	50283
95	6857	50290
96	6919	50150
97	6983	50027
98	7046	49897
99	7109	49769
100	7174	49653
101	7243	49568
102	7309	49461
103	7385	49427
104	7444	49277
105	7504	49136
106	7566	49005
107	7619	48819
108	7680	48687
109	7782	48819
110	7889	48969
111	7954	48864
112	8039	48878
113	8121	48874
114	8257	49188
115	8343	49198
116	8560	49971
117	8769	50687
118	8894	50901
119	9092	51524
120	9226	51776
121	9350	51963
122	9473	52142
123	9576	52209
124	9674	52240
125	9772	52275
126	9883	52374
127	9972	52357
128	10131	52701
129	10274	52951
130	10360	52911
131	10439	52830
132	10529	52805
133	10621	52792
134	10706	52739
135	10812	52788
136	10900	52752
137	10983	52691
138	11074	52664
139	11169	52656
140	11253	52596
141	11348	52588
142	11431	52519
143	11513	52452
144	11606	52429
145	11689	52363
146	11766	52269
147	11855	52229
148	11931	52129
149	12040	52173
150	12159	52260
151	12256	52253
152	12368	52304
153	12494	52410
154	12603	52447
155	12721	52515
156	12851	52633
157	12955	52641
158	13049	52607
159	13140	52560
160	13246	52573
161	13362	52623
162	13445	52545
163	13540	52511
164	13639	52489
165	13716	52388
166	13823	52398
167	13912	52337
168	13996	52259
169	14079	52175
170	14169	52120
171	14258	52059
172	14357	52034
173	14440	51953
174	14521	51860
175	14622	51844
176	14708	51772
177	14789	51680
178	14873	51601
179	14962	51536
180	15048	51464
181	15146	51432
182	15229	51349
183	15309	51254
184	15402	51201
185	15500	51169
186	15591	51111
187	15695	51092
188	15770	50983
189	15849	50884
190	15948	50852
191	16039	50791
192	16135	50747
193	16224	50680
194	16323	50645
195	16413	50580
196	16501	50508
197	16597	50464
198	16684	50389
199	16757	50273
200	16835	50172
201	16928	50116
202	17011	50029
203	17117	50008
204	17202	49928
205	17280	49828
206	17365	49747
207	17438	49632
208	17523	49553
209	17598	49444
210	17676	49342
211	17754	49244
212	17838	49160
213	17916	49061
214	17984	48935
215	18061	48833
216	18145	48750
217	18233	48679
218	18301	48554
219	18380	48458
220	18459	48362
221	18531	48247
222	18601	48130
223	18697	48080
224	18773	47975
225	18853	47883
226	18929	47782
227	19014	47701
228	19106	47640
229	19192	47564
230	19277	47483
231	19362	47404
232	19461	47359
233	19556	47302
234	19633	47203
235	19732	47156
236	19815	47073
237	19910	47016
238	20034	47026
239	20138	46989
240	20221	46904
241	20305	46819
242	20391	46740
243	20469	46643
244	20541	46532
245	20623	46444
246	20710	46368
247	20800	46297
248	20887	46219
249	20965	46123
250	21049	46040
251	21125	45939
252	21194	45823
253	21271	45724
254	21368	45669
255	21444	45568
256	21520	45469
257	21590	45357
258	21672	45268
259	21737	45146
260	21832	45086
261	21913	44998
262	21992	44905
263	22070	44809
264	22148	44714
265	22217	44602
266	22290	44497
267	22371	44409
268	22444	44305
269	22528	44222
270	22624	44164
271	22733	44129
272	22837	44085
273	22937	44033
274	23019	43946
275	23104	43865
276	23203	43811
277	23299	43749
278	23397	43691
279	23480	43605
280	23567	43527
281	23645	43434
282	23724	43340
283	23815	43269
284	23920	43224
285	24002	43136
286	24082	43046
287	24162	42956
288	24236	42854
289	24324	42777
290	24416	42707
291	24515	42650
292	24606	42578
293	24691	42497
294	24776	42413
295	24875	42354
296	24953	42261
297	25034	42172
298	25128	42104
299	25223	42039
300	25316	41969
301	25398	41883
302	25469	41776
303	25549	41686
304	25628	41593
305	25728	41535
306	25814	41454
307	25901	41375
308	25994	41305
309	26074	41214
310	26170	41149
311	26258	41071
312	26341	40984
313	26419	40890
314	26518	40829
315	26606	40752
316	26716	40707
317	26821	40654
318	26925	40599
319	27021	40532
320	27123	40473
321	27210	40392
322	27303	40321
323	27381	40227
324	27461	40136
325	27552	40061
326	27643	39985
327	27720	39891
328	27818	39825
329	27911	39752
330	27991	39661
331	28086	39592
332	28184	39525
333	28264	39435
334	28356	39361
335	28461	39304
336	28549	39223
337	28649	39159
338	28737	39079
339	28820	38992
340	28917	38923
341	28998	38833
342	29090	38758
343	29185	38687
344	29289	38628
345	29422	38606
346	29553	38581
347	29643	38502
348	29733	38422
349	29833	38356
350	29943	38303
351	30035	38226
352	30120	38141
353	30235	38092
354	30344	38038
355	30438	37963
356	30553	37913
357	30664	37859
358	30768	37796
359	30888	37752
360	30970	37662
361	31072	37595
362	31167	37521
363	31293	37483
364	31384	37403
365	31456	37300
366	31546	37219
367	31635	37136
368	31722	37052
369	31830	36991
370	31936	36929
371	32026	36847
372	32123	36773
373	32228	36709
374	32319	36629
375	32418	36557
376	32503	36469
377	32602	36397
378	32682	36303
379	32767	36217
380	32875	36154
381	32979	36087
382	33072	36008
383	33168	35932
384	33241	35832
385	33321	35738
386	33404	35648
387	33483	35554
388	33564	35462
389	33642	35367
390	33717	35269
391	33797	35177
392	33877	35084
393	33956	34990
394	34056	34919
395	34157	34847
396	34263	34781
397	34364	34710
398	34524	34697
399	34642	34642
400	34736	34562
401	34815	34468
402	34894	34375
403	34979	34286
404	35064	34199
405	35147	34108
406	35235	34023
407	35305	33921
408	35383	33825
409	35455	33726
410	35541	33639
411	35613	33539
412	35701	33453
413	35784	33363
414	35854	33262
415	35931	33167
416	35994	33059
417	36095	32986
418	36163	32884
419	36246	32794
420	36320	32697
421	36393	32599
422	36455	32490
423	36521	32387
424	36604	32298
425	36679	32202
426	36760	32111
427	36849	32027
428	36934	31941
429	37019	31854
430	37108	31770
431	37184	31675
432	37262	31582
433	37340	31489
434	37414	31394
435	37494	31302
436	37580	31216
437	37661	31126
438	37730	31026
439	37799	30926
440	37883	30839
441	37958	30745
442	38058	30670
443	38138	30579
444	38213	30484
445	38309	30406
446	38395	30321
447	38486	30239
448	38588	30166
449	38673	30079
450	38780	30009
451	38882	29935
452	38970	29851
453	39032	29746
454	39110	29654
455	39240	29602
456	39350	29534
457	39485	29484
458	39582	29406
459	39672	29323
460	39747	29228
461	39815	29129
462	39908	29047
463	39985	28954
464	40053	28856
465	40121	28756
466	40195	28661
467	40277	28573
468	40349	28476
469	40427	28385
470	40498	28288
471	40578	28198
472	40652	28104
473	40731	28013
474	40828	27935
475	40904	27842
476	40993	27758
477	41079	27673
478	41164	27586
479	41243	27495
480	41325	27407
481	41403	27316
482	41481	27225
483	41573	27143
484	41647	27049
485	41721	26955
486	41818	26876
487	41912	26796
488	41997	26710
489	42084	26624
490	42175	26542
491	42249	26449
492	42342	26367
493	42416	26274
494	42490	26181
495	42561	26086
496	42657	26006
497	42740	25918
498	42813	25825
499	42904	25742
500	42987	25654
501	43065	25564
502	43148	25477
503	43241	25395
504	43323	25307
505	43430	25234
506	43510	25145
507	43583	25051
508	43660	24960
509	43736	24870
510	43824	24785
511	43912	24700
512	44013	24623
513	44081	24527
514	44173	24445
515	44259	24360
516	44351	24277
517	44422	24183
518	44520	24104
519	44590	24010
520	44666	23919
521	44763	23839
522	44844	23751
523	44913	23656
524	45008	23575
525	45093	23489
526	45168	23398
527	45246	23308
528	45342	23228
529	45422	23139
530	45500	23050
531	45581	22962
532	45652	22869
533	45729	22778
534	45820	22696
535	45907	22610
536	45984	22521
537	46057	22429
538	46136	22340
539	46198	22243
540	46279	22155
541	46376	22075
542	46448	21984
543	46514	21888
544	46591	21799
545	46663	21707
546	46755	21625
547	46827	21533
548	46930	21456
549	47010	21368
550	47080	21275
551	47167	21191
552	47243	21101
553	47318	21011
554	47409	20928
555	47491	20841
556	47560	20748
557	47645	20663
558	47734	20579
559	47813	20491
560	47885	20400
561	47962	20311
562	48044	20224
563	48128	20138
564	48220	20056
565	48289	19964
566	48361	19873
567	48429	19781
568	48509	19693
569	48568	19597
570	48649	19510
571	48737	19426
572	48815	19338
573	48885	19247
574	48964	19159
575	49054	19076
576	49132	18988
577	49208	18900
578	49307	18820
579	49392	18734
580	49469	18646
581	49568	18566
582	49638	18476
583	49711	18386
584	49797	18301
585	49877	18214
586	49945	18123
587	50016	18033
588	50101	17948
589	50180	17860
590	50245	17768
591	50342	17687
592	50414	17598
593	50484	17508
594	50553	17417
595	50625	17328
596	50699	17239
597	50768	17149
598	50849	17062
599	50940	16980
600	51014	16891
601	51090	16803
602	51179	16720
603	51245	16629
604	51320	16541
605	51410	16458
606	51488	16371
607	51554	16280
608	51665	16203
609	51754	16120
610	51851	16039
611	51944	15956
612	52017	15868
613	52098	15782
614	52179	15696
615	52252	15607
616	52324	15519
617	52406	15433
618	52484	15346
619	52553	15257
620	52624	15168
621	52711	15084
622	52793	14999
623	52858	14908
624	52955	14827
625	53031	14740
626	53102	14651
627	53175	14563
628	53245	14475
629	53323	14388
630	53408	14304
631	53491	14219
632	53579	14135
633	53654	14048
634	53732	13961
635	53809	13875
